ID,dist,lat,lon
314433,3,38.681378,-121.338403
314434,3,38.681378,-121.338403
314446,3,38.683947,-121.335012
314447,3,38.683947,-121.335012
314460,3,38.682166,-121.336991
314461,3,38.682166,-121.336991
314462,3,38.682166,-121.336991
314485,3,38.661338,-121.359911
314486,3,38.661338,-121.359911
314491,3,38.659699,-121.361733
314492,3,38.659699,-121.361733
314501,3,38.472569,-121.423178
314502,3,38.476243,-121.424997
314503,3,38.472569,-121.423178
314509,3,38.60021,-121.546334
314514,3,38.644777,-121.384187
314521,3,38.600099,-121.451334
314530,3,38.577218,-121.527591
314536,3,38.590248,-121.288414
314548,3,38.57397,-121.578763
314549,3,38.57397,-121.578763
314559,3,38.554083,-121.40731
314560,3,38.554083,-121.40731
314566,3,38.553402,-121.410326
314575,3,38.600099,-121.451139
314576,3,38.600099,-121.451723
314580,3,38.600248,-121.450708
314598,3,38.624625,-121.416118
314599,3,38.624625,-121.416118
314615,3,38.467711,-121.416935
314616,3,38.467194,-121.416017
314617,3,38.467194,-121.416017
314618,3,38.573898,-121.467078
314621,3,38.575279,-121.558708
314625,3,38.446758,-121.405805
314646,3,38.60462,-121.433496
314647,3,38.604723,-121.433988
314649,3,38.604121,-121.433946
314650,3,38.605071,-121.433623
314652,3,38.443625,-121.492562
314666,3,38.566218,-121.335447
314668,3,38.566218,-121.335447
314679,3,38.456454,-121.410983
314680,3,38.457616,-121.412298
314681,3,38.457616,-121.411003
314688,3,38.421362,-121.395078
314689,3,38.421348,-121.395078
314697,3,38.414345,-121.391936
314698,3,38.414208,-121.391936
314711,3,38.564392,-121.339187
314712,3,38.565229,-121.337466
314719,3,38.784655,-121.285685
314723,3,38.787222,-121.288455
314724,3,38.785161,-121.285685
314726,3,38.565321,-121.337278
314730,3,38.407455,-121.388824
314751,3,38.497161,-121.447453
314755,3,38.494592,-121.444679
314756,3,38.494759,-121.445924
314768,3,38.489846,-121.514094
314773,3,38.489782,-121.514368
314780,3,38.509594,-121.521912
314786,3,38.509537,-121.522187
314792,3,38.532946,-121.517293
314799,3,38.533005,-121.517534
314803,3,38.568955,-121.51041
314808,3,38.569015,-121.510075
314814,3,38.569306,-121.510151
314821,3,38.59013,-121.504306
314828,3,38.590137,-121.50463
314835,3,38.558291,-121.513859
314843,3,38.558332,-121.514189
314848,3,38.548243,-121.510893
314853,3,38.54827,-121.511207
314867,3,38.480256,-121.509888
314868,3,38.480256,-121.509888
314869,3,38.479641,-121.510013
